Rank,Title,Genre,Studio
26,Unanswered//butterfly: Sword Art Online,"['Action', 'Adventure']",POLYGON PICTURES
27,Frieren: Beyond Journey’s End,"['Adventure', 'Drama', 'Fantasy']",MADHOUSE
28,JUJUTSU KAISEN,"['Action', 'Drama', 'Supernatural']",MAPPA
29,Hunter x Hunter (2011),"['Action', 'Adventure', 'Fantasy']",MADHOUSE
30,ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword!,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",A.C.G.T.
31,My Hero Academia: Vigilantes Season 2,"['Action', 'Adventure', 'Drama', 'Fantasy']",bones film
32,Evangelion: Housou 30 Shuunen Kinen Tokubetsu Kougyou,['Psychological'],Studio Khara
33,Naruto: Shippuden,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",Studio Pierrot
34,Journal with Witch,"['Drama', 'Slice of Life']",Shuka
35,Fullmetal Alchemist: Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy']",bones
36,Bleach,"['Action', 'Adventure', 'Supernatural']",Studio Pierrot
37,SPY x FAMILY Season 3,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']","WIT STUDIO, CloverWorks"
38,BAKI-DOU: The Invincible Samurai,"['Action', 'Sports']",TMS Entertainment
39,The Invisible Man and His Soon-to-Be Wife,"['Comedy', 'Romance', 'Supernatural']",project No.9
40,MF GHOST Season 3,['Sports'],Felix Film
41,Naruto,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",Studio Pierrot
42,Easygoing Territory Defense by the Optimistic Lord,"['Adventure', 'Fantasy']",NAZ
43,The Apothecary Diaries,"['Drama', 'Mystery']","OLM, TOHO animation STUDIO"
44,JUJUTSU KAISEN Season 2,"['Action', 'Drama', 'Supernatural']",MAPPA
45,Black Clover,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Studio Pierrot
46,Death Note,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']",MADHOUSE
47,"There was a Cute Girl in the Hero’s Party, so I Tried Confessing to Her","['Adventure', 'Comedy', 'Fantasy', 'Romance']",Gekkou
48,In the Clear Moonlit Dusk,"['Romance', 'Slice of Life']","East Fish Studio, Atelier Peuplier"
49,Tune In to the Midnight Heart,"['Comedy', 'Romance']",Gekkou
50,"Noble Reincarnation: Born Blessed, So I'll Obtain Ultimate Power","['Action', 'Adventure', 'Fantasy']",CompTown
Rank,Title,Genre,Studio
1,JUJUTSU KAISEN Season 3: The Culling Game Part 1,"['Action', 'Drama', 'Supernatural']",MAPPA
2,Sentenced to Be a Hero,"['Action', 'Comedy', 'Drama', 'Fantasy']",Studio KAI
3,【OSHI NO KO】Season 3,"['Drama', 'Mystery', 'Psychological', 'Supernatural']",Doga Kobo
4,Chained Soldier Season 2,"['Action', 'Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Romance']","Passione, Hayabusa Film"
5,"Jack-of-All-Trades, Party of None","['Action', 'Adventure', 'Fantasy']",animation studio42
6,Frieren: Beyond Journey’s End Season 2,"['Adventure', 'Drama', 'Fantasy']",MADHOUSE
7,Hell’s Paradise Season 2,"['Action', 'Adventure', 'Mystery', 'Supernatural']",MAPPA
